,0
2023-10-13 00:00:00-04:00,7458030080
2023-10-13 00:00:00-04:00,7429760000
2023-10-14 00:00:00-04:00,7429760000
2023-10-14 00:00:00-04:00,7507520000
2023-10-15 00:00:00-04:00,7429760000
2023-10-17 00:00:00-04:00,7429760000
2023-10-18 00:00:00-04:00,7442290176
2023-10-18 00:00:00-04:00,7429760000
2023-10-19 00:00:00-04:00,7473650176
2023-10-19 00:00:00-04:00,7429760000
2023-10-22 00:00:00-04:00,7429760000
2023-10-24 00:00:00-04:00,7429029888
2023-10-26 00:00:00-04:00,7432260096
2023-10-28 00:00:00-04:00,7432260096
2023-11-01 00:00:00-04:00,7432260096
2023-11-03 00:00:00-04:00,7432260096
2023-11-09 00:00:00-05:00,7432260096
2023-11-10 00:00:00-05:00,7432260096
2023-11-14 00:00:00-05:00,7432260096
2023-11-16 00:00:00-05:00,7432260096
2023-11-17 00:00:00-05:00,7432260096
2023-11-22 00:00:00-05:00,7432260096
2023-11-23 00:00:00-05:00,7432260096
2023-11-25 00:00:00-05:00,7432260096
2023-11-28 00:00:00-05:00,7432260096
2023-11-29 00:00:00-05:00,7432260096
2023-11-30 00:00:00-05:00,7432260096
2023-12-01 00:00:00-05:00,7432260096
2023-12-02 00:00:00-05:00,7432260096
2023-12-06 00:00:00-05:00,7432260096
2023-12-08 00:00:00-05:00,7432260096
2023-12-13 00:00:00-05:00,7432260096
2023-12-15 00:00:00-05:00,7603060224
2023-12-16 00:00:00-05:00,7432260096
2023-12-19 00:00:00-05:00,7432260096
2023-12-20 00:00:00-05:00,7432260096
2023-12-22 00:00:00-05:00,7432260096
2023-12-23 00:00:00-05:00,7432260096
2023-12-26 00:00:00-05:00,7432260096
2023-12-27 00:00:00-05:00,7432260096
2024-01-04 00:00:00-05:00,7432260096
2024-01-05 00:00:00-05:00,7486799872
2024-01-05 00:00:00-05:00,7432260096
2024-01-06 00:00:00-05:00,7432260096
2024-01-09 00:00:00-05:00,7432260096
2024-01-10 00:00:00-05:00,7432260096
2024-01-11 00:00:00-05:00,7432260096
2024-01-13 00:00:00-05:00,7432260096
2024-01-19 00:00:00-05:00,7432260096
2024-01-20 00:00:00-05:00,7432260096
2024-01-24 00:00:00-05:00,7432260096
2024-01-27 00:00:00-05:00,7449560064
2024-01-30 00:00:00-05:00,7432260096
2024-02-01 00:00:00-05:00,7430439936
2024-02-01 00:00:00-05:00,7639620096
2024-02-02 00:00:00-05:00,7430439936
2024-02-06 00:00:00-05:00,7430439936
2024-02-07 00:00:00-05:00,7430439936
2024-02-07 00:00:00-05:00,7432640000
2024-02-14 00:00:00-05:00,7430439936
2024-02-15 00:00:00-05:00,7430439936
2024-02-17 00:00:00-05:00,7430439936
2024-02-23 00:00:00-05:00,7430439936
2024-02-27 00:00:00-05:00,7430439936
2024-03-01 00:00:00-05:00,7430439936
2024-03-02 00:00:00-05:00,7430439936
2024-03-05 00:00:00-05:00,7430439936
2024-03-05 00:00:00-05:00,7440820224
2024-03-06 00:00:00-05:00,7430439936
2024-03-07 00:00:00-05:00,7430439936
2024-03-08 00:00:00-05:00,7430439936
2024-03-09 00:00:00-05:00,7430439936
2024-03-12 00:00:00-04:00,7430439936
2024-03-12 00:00:00-04:00,7460740096
2024-03-13 00:00:00-04:00,7431329792
2024-03-14 00:00:00-04:00,7430439936
2024-03-15 00:00:00-04:00,7430439936
2024-03-20 00:00:00-04:00,7430439936
2024-03-21 00:00:00-04:00,7430439936
2024-03-22 00:00:00-04:00,7430439936
2024-03-23 00:00:00-04:00,7430439936
2024-03-23 00:00:00-04:00,7446219776
2024-03-26 00:00:00-04:00,7430439936
2024-03-26 00:00:00-04:00,7446459904
2024-03-26 00:00:00-04:00,7528840192
2024-03-27 00:00:00-04:00,7430439936
2024-03-29 00:00:00-04:00,7430439936
2024-03-29 00:00:00-04:00,7443680256
2024-04-04 00:00:00-04:00,7430439936
2024-04-04 00:00:00-04:00,7447220224
2024-04-05 00:00:00-04:00,7430439936
2024-04-06 00:00:00-04:00,7430439936
2024-04-11 00:00:00-04:00,7430439936
2024-04-12 00:00:00-04:00,7532709888
2024-04-13 00:00:00-04:00,7430439936
